Net_Metrekare,Brüt_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Eşya_Durumu,Binanın_Yaşı,Isıtma_Tipi,Fiyat,Şehir,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Takas,Tapu_Durumu,Banyo_Sayısı
145,150.0,4.0,4.Kat,Boş,5-10,Klimalı,2500000.0,adana,5,Boş,,Yok,Kat Mülkiyeti,1.0
110,120.0,3.0,Müstakil,Eşyalı,21 Ve Üzeri,Klimalı,2200000.0,adana,2,Boş,Uygun,Yok,Kat Mülkiyeti,2.0
130,140.0,3.0,1.Kat,Boş,5-10,Klimalı,2500000.0,adana,6,Boş,Uygun,Yok,Kat Mülkiyeti,1.0
100,120.0,3.0,2.Kat,,0 (Yeni),Kombi Doğalgaz,2390000.0,adana,5,Boş,,,,1.0
45,100.0,2.0,Bahçe Katı,Boş,0 (Yeni),Klimalı,1500000.0,adana,2,Boş,Bilinmiyor,Var,Müstakil Tapulu,1.0
85,125.0,3.0,4.Kat,Boş,4,Klimalı,1760000.0,adana,10,Boş,Uygun,Var,Kat Mülkiyeti,2.0
100,110.0,3.0,,,21 Ve Üzeri,Isıtma Yok,2900000.0,adana,2,Kiracı Oturuyor,,,,1.0
100,120.0,3.0,6.Kat,Boş,0 (Yeni),Klimalı,2485000.0,adana,10,Boş,Uygun,Yok,Kat Mülkiyeti,1.0
80,90.0,3.0,1.Kat,Boş,0 (Yeni),Isıtma Yok,2450000.0,adana,8,Boş,,Yok,Kat Mülkiyeti,1.0
147,170.0,4.0,7.Kat,Boş,11-15,Kombi Doğalgaz,2370000.0,adana,11,Kiracı Oturuyor,Uygun,Yok,Kat Mülkiyeti,1.0
45,50.0,2.0,6.Kat,,4,Klimalı,1100000.0,adana,13,Boş,,,,1.0
80,90.0,3.0,1.Kat,Eşyalı,4,Doğalgaz Sobalı,1650000.0,adana,13,Mülk Sahibi Oturuyor,Uygun,Yok,Kat Mülkiyeti,1.0
175,230.0,5.0,10.Kat,Boş,16-20,Kombi Doğalgaz,5998000.0,adana,12,Mülk Sahibi Oturuyor,,Yok,Kat Mülkiyeti,2.0
200,240.0,5.0,10.Kat,,11-15,Kombi Doğalgaz,5998000.0,adana,12,Mülk Sahibi Oturuyor,Uygun,,Kat Mülkiyeti,2.0
120,150.0,4.0,1.Kat,,21 Ve Üzeri,Klimalı,3000000.0,adana,5,Kiracı Oturuyor,,,Kat Mülkiyeti,1.0
149,200.0,5.0,10.Kat,Boş,0 (Yeni),Yerden Isıtma,6900000.0,adana,14,Boş,Uygun,,,2.0
78,100.0,3.0,9.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1500000.0,adana,9,Boş,Uygun,Var,Kat Mülkiyeti,1.0
76,100.0,3.0,1.Kat,,0 (Yeni),Kombi Doğalgaz,1350000.0,adana,9,Boş,Uygun,Var,Kat İrtifakı,1.0
76,100.0,3.0,2.Kat,,0 (Yeni),Kombi Doğalgaz,1700000.0,adana,9,Boş,Uygun,Var,Kat İrtifakı,1.0
160,210.0,5.0,1.Kat,Boş,0 (Yeni),Kombi Doğalgaz,4100000.0,adana,9,Boş,Uygun,,Kat Mülkiyeti,2.0
125,165.0,3.0,Müstakil,Boş,0 (Yeni),Isıtma Yok,2400000.0,adana,1,Boş,,,,1.0
40,45.0,2.0,12.Kat,,3,Kombi Doğalgaz,885000.0,adana,13,Kiracı Oturuyor,Uygun,,Kat İrtifakı,1.0
50,60.0,2.0,5.Kat,Eşyalı,4,Klimalı,1550000.0,adana,13,Boş,,,,1.0
160,220.0,4.0,4.Kat,Boş,21 Ve Üzeri,Klimalı,3200000.0,adana,8,Kiracı Oturuyor,Uygun,,,1.0
100,120.0,3.0,,Boş,21 Ve Üzeri,Klimalı,3350000.0,adana,3,Boş,Bilinmiyor,Yok,Bilinmiyor,1.0
85,120.0,3.0,2.Kat,Boş,5-10,Klimalı,2575000.0,adana,8,Boş,Bilinmiyor,Yok,,2.0
80,88.0,3.0,5.Kat,Boş,11-15,Isıtma Yok,1500000.0,adana,6,Boş,Bilinmiyor,Yok,,1.0
345,360.0,11.0,,Boş,5-10,Kombi Doğalgaz,12250000.0,adana,3,Boş,Bilinmiyor,Var,Kat İrtifakı,3.0
85,125.0,5.0,7.Kat,,1,Klimalı,2300000.0,adana,14,Boş,Bilinmiyor,Yok,Bilinmiyor,2.0
170,240.0,5.0,11.Kat,,5-10,Kombi Doğalgaz,4620000.0,adana,12,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,,2.0
150,175.0,4.0,Yüksek Giriş,,11-15,Kombi Doğalgaz,2400000.0,adana,9,Kiracı Oturuyor,Uygun,,,1.0
93,110.0,3.0,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1400000.0,adana,5,Boş,,Yok,,1.0
