Net_Metrekare,Brüt_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Eşya_Durumu,Binanın_Yaşı,Isıtma_Tipi,Fiyat,Şehir,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Takas,Tapu_Durumu,Banyo_Sayısı
140,150.0,4.0,5.Kat,Boş,4,Isıtma Yok,6200000.0,antalya,5,Boş,Bilinmiyor,Yok,Kat İrtifakı,1.0
100,120.0,3.0,3.Kat,Boş,3,Klimalı,2600000.0,antalya,6,Boş,Bilinmiyor,Var,,1.0
50,60.0,2.0,3.Kat,Boş,0 (Yeni),Isıtma Yok,3000000.0,antalya,5,Boş,Bilinmiyor,Yok,Kat İrtifakı,1.0
100,110.0,3.0,4.Kat,,5-10,Isıtma Yok,3650000.0,antalya,5,Boş,Bilinmiyor,Yok,Kat İrtifakı,1.0
85,95.0,3.0,2.Kat,,0 (Yeni),Isıtma Yok,2650000.0,antalya,5,Boş,Bilinmiyor,Var,Kat İrtifakı,6.0
55,60.0,2.0,6.Kat,Eşyalı,3,Klimalı,2700000.0,antalya,11,Boş,Uygun,Yok,Kat Mülkiyeti,1.0
96,105.0,3.0,Yüksek Giriş,Eşyalı,1,Klimalı,4150000.0,antalya,3,Boş,Bilinmiyor,Yok,Müstakil Tapulu,2.0
150,180.0,4.0,2.Kat,Boş,21 Ve Üzeri,Klimalı,2500000.0,antalya,4,Mülk Sahibi Oturuyor,Uygun,Yok,Kat Mülkiyeti,1.0
140,150.0,4.0,4.Kat,Boş,0 (Yeni),Klimalı,3500000.0,antalya,5,Boş,Uygun,Yok,Kat İrtifakı,2.0
140,150.0,4.0,2.Kat,Boş,11-15,Kombi Doğalgaz,3400000.0,antalya,5,Boş,Bilinmiyor,Yok,Kat Mülkiyeti,1.0
80,85.0,3.0,2.Kat,Eşyalı,11-15,Klimalı,3450000.0,antalya,3,Boş,Bilinmiyor,Yok,,1.0
105,115.0,3.0,2.Kat,Boş,4,Isıtma Yok,2800000.0,antalya,5,Mülk Sahibi Oturuyor,Uygun,Yok,,2.0
95,110.0,3.0,2.Kat,Boş,5-10,Kombi Doğalgaz,9750000.0,antalya,4,Mülk Sahibi Oturuyor,Uygun,Yok,,2.0
220,250.0,4.0,2.Kat,Boş,11-15,Klimalı,5800000.0,antalya,2,Boş,Bilinmiyor,Yok,,1.0
90,100.0,3.0,9.Kat,Boş,4,Klimalı,4850000.0,antalya,10,Boş,Bilinmiyor,Var,Kat İrtifakı,1.0
115,120.0,3.0,6.Kat,Eşyalı,11-15,Kombi Doğalgaz,4445639.0,antalya,8,Boş,,Yok,,2.0
265,300.0,5.0,,Boş,0 (Yeni),Yerden Isıtma,19850000.0,antalya,2,Boş,Bilinmiyor,Var,Kat İrtifakı,3.0
65,68.0,2.0,5.Kat,,0 (Yeni),Klimalı,2950000.0,antalya,11,Boş,Uygun,Yok,Kat İrtifakı,1.0
300,480.0,5.0,,,0 (Yeni),Yerden Isıtma,15000000.0,antalya,2,Boş,,,,4.0
80,85.0,3.0,2.Kat,,5-10,Klimalı,2400000.0,antalya,3,Mülk Sahibi Oturuyor,,,,1.0
55,60.0,2.0,2.Kat,Boş,0 (Yeni),Klimalı,2800000.0,antalya,5,Boş,Uygun,Yok,Kat İrtifakı,1.0
50,60.0,2.0,1.Kat,Boş,5-10,Klimalı,4750000.0,antalya,5,Boş,Bilinmiyor,Yok,Kat İrtifakı,1.0
100,110.0,3.0,Yüksek Giriş,Boş,5-10,Klimalı,1849000.0,antalya,4,Boş,Bilinmiyor,Yok,Kat İrtifakı,1.0
365,366.0,,,,0 (Yeni),Klimalı,19800000.0,antalya,4,Boş,Bilinmiyor,Yok,,6.0
140,145.0,4.0,2.Kat,Boş,21 Ve Üzeri,Klimalı,2350000.0,antalya,6,Boş,Bilinmiyor,Yok,Müstakil Tapulu,1.0
90,95.0,3.0,3.Kat,Eşyalı,2,Klimalı,2350000.0,antalya,3,Boş,Bilinmiyor,Yok,Bilinmiyor,1.0
60,65.0,2.0,5.Kat,Boş,1,Klimalı,2150000.0,antalya,5,Boş,Bilinmiyor,Yok,Bilinmiyor,1.0
70,95.0,2.0,Yüksek Giriş,,5-10,Isıtma Yok,1620000.0,antalya,5,Boş,,,,1.0
90,95.0,3.0,4.Kat,Eşyalı,21 Ve Üzeri,Kat Kaloriferi,2950000.0,antalya,4,Mülk Sahibi Oturuyor,,,,1.0
130,140.0,4.0,4.Kat,Boş,11-15,Kombi Doğalgaz,3400000.0,antalya,4,Boş,Bilinmiyor,Yok,,1.0
105,115.0,3.0,4.Kat,Boş,5-10,Kombi Doğalgaz,2250000.0,antalya,4,Boş,Bilinmiyor,Yok,,1.0
135,140.0,4.0,1.Kat,Boş,16-20,Kombi Doğalgaz,3000000.0,antalya,5,Boş,Bilinmiyor,Yok,Kat İrtifakı,1.0
165,175.0,4.0,3.Kat,Boş,4,Kombi Doğalgaz,2950000.0,antalya,3,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,Kat İrtifakı,2.0
90,100.0,3.0,1.Kat,Boş,5-10,Kombi Doğalgaz,2990000.0,antalya,3,Boş,Bilinmiyor,Yok,Kat İrtifakı,1.0
60,70.0,2.0,Yüksek Giriş,Boş,5-10,Klimalı,1600000.0,antalya,3,Boş,Bilinmiyor,Yok,,1.0
130,140.0,4.0,3.Kat,Boş,5-10,Kombi Doğalgaz,2800000.0,antalya,4,Boş,Bilinmiyor,Yok,,1.0
120,140.0,4.0,1.Kat,,5-10,Doğalgaz Sobalı,3500000.0,antalya,4,Boş,,,Kat İrtifakı,1.0
200,465.0,6.0,,Boş,5-10,Diğer,13000000.0,antalya,2,Mülk Sahibi Oturuyor,Bilinmiyor,,Bilinmiyor,2.0
100,120.0,3.0,2.Kat,Boş,11-15,Klimalı,6000000.0,antalya,9,Boş,,Yok,,2.0
160,2890.0,4.0,,Boş,1,Sobalı,7675000.0,antalya,2,Mülk Sahibi Oturuyor,,Var,,2.0
150,1140.0,5.0,,Boş,11-15,Sobalı,7675000.0,antalya,2,Mülk Sahibi Oturuyor,,Var,,2.0
110,117.0,3.0,2.Kat,Boş,1,Güneş Enerjisi,6687000.0,antalya,5,Mülk Sahibi Oturuyor,,Var,,2.0
115,120.0,3.0,2.Kat,Boş,3,Isıtma Yok,3900000.0,antalya,4,Boş,,Var,,2.0
110,740.0,3.0,,Boş,0 (Yeni),Isıtma Yok,4100000.0,antalya,1,Boş,,Var,,1.0
50,55.0,2.0,1.Kat,Eşyalı,21 Ve Üzeri,Klimalı,3600000.0,antalya,3,Boş,,Var,,1.0
75,84.0,3.0,1.Kat,Boş,21 Ve Üzeri,Güneş Enerjisi,5390000.0,antalya,3,Boş,,Var,,1.0
105,110.0,3.0,2.Kat,Boş,11-15,Isıtma Yok,2600000.0,antalya,4,Mülk Sahibi Oturuyor,,Var,,1.0
65,75.0,2.0,2.Kat,Boş,21 Ve Üzeri,Isıtma Yok,3900000.0,antalya,4,Boş,,Var,,1.0
90,97.0,3.0,1.Kat,Boş,3,Güneş Enerjisi,3650000.0,antalya,9,Mülk Sahibi Oturuyor,,Var,,2.0
100,110.0,3.0,3.Kat,Eşyalı,11-15,Klimalı,4300000.0,antalya,3,Boş,,Var,,1.0
50,60.0,2.0,4.Kat,Eşyalı,11-15,Klimalı,3150000.0,antalya,5,Boş,,Var,,1.0
65,70.0,2.0,2.Kat,Boş,5-10,Isıtma Yok,3000000.0,antalya,4,Kiracı Oturuyor,,Var,,1.0
130,140.0,5.0,4.Kat,Boş,0 (Yeni),Klimalı,5400000.0,antalya,4,Boş,Uygun,Var,Kat İrtifakı,2.0
125,140.0,3.0,4.Kat,Boş,5-10,Isıtma Yok,4000000.0,antalya,4,Kiracı Oturuyor,,Var,,1.0
207,270.0,6.0,4.Kat,Boş,5-10,Klimalı,8450000.0,antalya,4,Boş,,Yok,,3.0
85,95.0,3.0,7.Kat,Boş,21 Ve Üzeri,Isıtma Yok,4910000.0,antalya,7,Kiracı Oturuyor,,Var,,1.0
140,150.0,4.0,6.Kat,Boş,4,Klimalı,8500000.0,antalya,9,Boş,,Yok,,2.0
110,120.0,3.0,6.Kat,Boş,3,Güneş Enerjisi,3390000.0,antalya,6,Boş,Uygun,Var,Kat İrtifakı,2.0
100,110.0,3.0,2.Kat,Boş,16-20,Güneş Enerjisi,3500000.0,antalya,6,Boş,Uygun,Var,Kat İrtifakı,1.0
300,376.0,5.0,,Eşyalı,0 (Yeni),Klimalı,27250000.0,antalya,4,Boş,,Yok,,4.0
120,135.0,4.0,3.Kat,,5-10,Klimalı,2950000.0,antalya,3,Mülk Sahibi Oturuyor,,,,1.0
90,95.0,3.0,2.Kat,Boş,11-15,Klimalı,2750000.0,antalya,3,Boş,Bilinmiyor,Yok,Bilinmiyor,1.0
50,55.0,2.0,2.Kat,Boş,1,Klimalı,2000000.0,antalya,4,Boş,Bilinmiyor,Yok,Bilinmiyor,1.0
120,130.0,4.0,Yüksek Giriş,Boş,0 (Yeni),Güneş Enerjisi,4700000.0,antalya,4,Boş,Uygun,Var,Kat İrtifakı,2.0
80,95.0,3.0,2.Kat,Boş,2,Klimalı,2650000.0,antalya,4,Boş,Bilinmiyor,Yok,Bilinmiyor,1.0
140,155.0,4.0,3.Kat,Boş,4,Klimalı,4300000.0,antalya,5,Boş,Bilinmiyor,Yok,Bilinmiyor,1.0
80,90.0,3.0,1.Kat,,0 (Yeni),Klimalı,2300000.0,antalya,3,Boş,Uygun,,,1.0
140,155.0,4.0,8.Kat,Boş,4,Klimalı,4450000.0,antalya,9,Boş,Bilinmiyor,Yok,Bilinmiyor,2.0
95,105.0,3.0,1.Kat,Boş,11-15,Klimalı,2600000.0,antalya,4,Boş,Bilinmiyor,Yok,Bilinmiyor,1.0
55,60.0,2.0,1.Kat,Boş,2,Klimalı,1900000.0,antalya,6,Boş,Bilinmiyor,Yok,Bilinmiyor,1.0
80,90.0,3.0,Bahçe Katı,,11-15,Sobalı,2100000.0,antalya,3,Boş,,,,1.0
53,55.0,2.0,1.Kat,,0 (Yeni),Klimalı,5100000.0,antalya,6,Boş,,,,1.0
140,160.0,4.0,Bahçe Dublex,Eşyalı,11-15,Klimalı,6465000.0,antalya,2,Boş,Uygun,Yok,Kat İrtifakı,2.0
58,65.0,3.0,2.Kat,,0 (Yeni),Klimalı,3200000.0,antalya,9,Boş,,,,1.0
140,150.0,4.0,2.Kat,Boş,16-20,Kombi Doğalgaz,2749000.0,antalya,4,Boş,Uygun,Yok,Kat İrtifakı,1.0
125,135.0,4.0,3.Kat,,21 Ve Üzeri,Klimalı,3465000.0,antalya,5,Boş,,,,1.0
78,90.0,3.0,3.Kat,,0 (Yeni),Klimalı,3400000.0,antalya,5,Boş,Bilinmiyor,Yok,Kat İrtifakı,1.0
100,110.0,3.0,Çatı Dubleks,Boş,0 (Yeni),Güneş Enerjisi,3350000.0,antalya,3,Boş,Uygun,Var,Kat İrtifakı,2.0
70,100.0,3.0,2.Kat,,0 (Yeni),Klimalı,3900000.0,antalya,4,Boş,,,,1.0
170,180.0,5.0,3.Kat,,5-10,Klimalı,3650000.0,antalya,4,Mülk Sahibi Oturuyor,,,,2.0
49,50.0,2.0,2.Kat,,0 (Yeni),Klimalı,4960000.0,antalya,4,Boş,,,,1.0
50,55.0,2.0,3.Kat,,0 (Yeni),Klimalı,1750000.0,antalya,5,Boş,Uygun,Var,Kat Mülkiyeti,1.0
65,70.0,2.0,1.Kat,,2,Klimalı,7265000.0,antalya,4,Boş,,,,1.0
190,210.0,5.0,4.Kat,Boş,0 (Yeni),Klimalı,3820000.0,antalya,4,Boş,Bilinmiyor,Yok,,2.0
100,120.0,3.0,3.Kat,Boş,1,Klimalı,2750000.0,antalya,3,Boş,Bilinmiyor,Yok,Bilinmiyor,1.0
180,325.0,4.0,,,0 (Yeni),Klimalı,23500000.0,antalya,3,Boş,Bilinmiyor,Var,Kat İrtifakı,3.0
150,160.0,4.0,5.Kat,Eşyalı,4,Klimalı,4650000.0,antalya,5,Boş,Bilinmiyor,Yok,,3.0
140,162.0,4.0,2.Kat,Boş,5-10,Klimalı,2633000.0,antalya,5,Boş,Bilinmiyor,Yok,Kat İrtifakı,1.0
90,100.0,3.0,1.Kat,Boş,4,Klimalı,2299999.0,antalya,4,Boş,Bilinmiyor,Yok,,1.0
80,90.0,3.0,Yüksek Giriş,Boş,5-10,Kombi Doğalgaz,1900000.0,antalya,4,Boş,Bilinmiyor,Yok,,1.0
120,130.0,4.0,Yüksek Giriş,Boş,4,Klimalı,2399999.0,antalya,4,Boş,Bilinmiyor,Yok,,1.0
135,145.0,4.0,2.Kat,Boş,5-10,Klimalı,3550000.0,antalya,6,Boş,Bilinmiyor,Yok,,1.0
114,115.0,3.0,3.Kat,,21 Ve Üzeri,Sobalı,3195000.0,antalya,3,Mülk Sahibi Oturuyor,Uygun,Var,Kat Mülkiyeti,1.0
90,101.0,4.0,3.Kat,Boş,5-10,Klimalı,2700000.0,antalya,3,Boş,Bilinmiyor,Yok,Kat İrtifakı,1.0
65,78.0,3.0,1.Kat,Boş,11-15,Klimalı,1950000.0,antalya,3,Boş,Bilinmiyor,Yok,Kat İrtifakı,1.0
80,90.0,3.0,4.Kat,,11-15,Klimalı,3250000.0,antalya,4,Mülk Sahibi Oturuyor,,,,1.0
40,50.0,2.0,Düz Giriş (Zemin),Boş,0 (Yeni),Klimalı,1500000.0,antalya,2,Boş,Uygun,,Kat İrtifakı,1.0
180,200.0,4.0,1.Kat,Eşyalı,5-10,Klimalı,5800000.0,antalya,2,Boş,Bilinmiyor,Yok,,2.0
200,235.0,5.0,,Eşyalı,0 (Yeni),Klimalı,90000000.0,antalya,3,Boş,Uygun,Var,,3.0
210,275.0,5.0,Villa Tipi,Eşyalı,16-20,Klimalı,5250000.0,antalya,3,Boş,Bilinmiyor,Yok,,3.0
18,22.0,1.0,Yüksek Giriş,,16-20,Klimalı,1295000.0,antalya,3,Boş,,Yok,Müstakil Tapulu,1.0
80,85.0,3.0,Bahçe Katı,Boş,0 (Yeni),Sobalı,4500000.0,antalya,3,Boş,Bilinmiyor,Yok,,1.0
135,140.0,3.0,7.Kat,Eşyalı,5-10,Klimalı,3911000.0,antalya,10,Boş,Bilinmiyor,Yok,Kat İrtifakı,2.0
460,464.0,6.0,,Eşyalı,5-10,Kombi Doğalgaz,16000000.0,antalya,3,Boş,Bilinmiyor,Yok,Müstakil Tapulu,4.0
110,130.0,3.0,Bahçe Dublex,,5-10,Klimalı,4000000.0,antalya,4,Mülk Sahibi Oturuyor,Uygun,,,1.0
130,145.0,4.0,Çatı Dubleks,Boş,11-15,Klimalı,4500000.0,antalya,3,Boş,Uygun,,Kat Mülkiyeti,2.0
98,110.0,3.0,2.Kat,Boş,0 (Yeni),Klimalı,3250000.0,antalya,4,Boş,,Var,Müstakil Tapulu,1.0
140,145.0,4.0,1.Kat,Boş,1,Isıtma Yok,3400000.0,antalya,6,Boş,Bilinmiyor,Var,Müstakil Tapulu,2.0
90,95.0,3.0,1.Kat,Eşyalı,11-15,Klimalı,5450000.0,antalya,2,Boş,Bilinmiyor,Yok,Kat İrtifakı,1.0
130,145.0,4.0,6.Kat,Boş,11-15,Klimalı,1900000.0,antalya,6,Boş,Bilinmiyor,Yok,Bilinmiyor,1.0
70,80.0,2.0,4.Kat,Boş,0 (Yeni),Klimalı,2250000.0,antalya,5,Boş,Uygun,Yok,Kat Mülkiyeti,1.0
130,140.0,4.0,5.Kat,Boş,1,Klimalı,3575000.0,antalya,5,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,Kat İrtifakı,1.0
60,65.0,2.0,9.Kat,,5-10,Klimalı,3150000.0,antalya,11,Boş,,,,1.0
100,128.0,4.0,5.Kat,Eşyalı,5-10,Klimalı,6120000.0,antalya,7,Boş,,,Kat Mülkiyeti,2.0
50,55.0,2.0,Bahçe Katı,Boş,0 (Yeni),Klimalı,3300000.0,antalya,3,Boş,Uygun,Yok,Kat İrtifakı,1.0
140,160.0,4.0,7.Kat,Boş,5-10,Kombi Doğalgaz,6750000.0,antalya,9,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,Kat İrtifakı,2.0
60,65.0,2.0,2.Kat,,4,Klimalı,5615000.0,antalya,4,Boş,,,,1.0
90,120.0,3.0,Yüksek Giriş,Boş,4,Kombi Doğalgaz,12300000.0,antalya,3,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,Kat İrtifakı,2.0
140,160.0,5.0,3.Kat,Boş,4,Kombi Doğalgaz,22000000.0,antalya,3,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,Kat İrtifakı,2.0
120,125.0,3.0,1.Kat,Boş,11-15,Kombi Doğalgaz,5999000.0,antalya,5,Boş,Bilinmiyor,Yok,,2.0
236,260.0,5.0,1.Kat,Eşyalı,5-10,Yerden Isıtma,18960000.0,antalya,4,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,Kat İrtifakı,3.0
90,110.0,3.0,2.Kat,,11-15,Klimalı,3600000.0,antalya,3,Mülk Sahibi Oturuyor,,,,1.0
80,90.0,2.0,Düz Giriş (Zemin),Eşyalı,5-10,Klimalı,2650000.0,antalya,3,Boş,,Yok,,1.0
130,145.0,4.0,10.Kat,,21 Ve Üzeri,Klimalı,6500000.0,antalya,10,Boş,,,,1.0
90,110.0,3.0,1.Kat,,11-15,Kombi Doğalgaz,5200000.0,antalya,3,Mülk Sahibi Oturuyor,Uygun,Var,Kat İrtifakı,1.0
130,145.0,4.0,10.Kat,Eşyalı,21 Ve Üzeri,Klimalı,6500000.0,antalya,10,Boş,,,Kat Mülkiyeti,1.0
180,200.0,4.0,10.Kat,Eşyalı,5-10,Klimalı,7250000.0,antalya,13,Boş,Uygun,Yok,Kat Mülkiyeti,2.0
90,100.0,3.0,2.Kat,Eşyalı,0 (Yeni),Kombi Doğalgaz,3997000.0,antalya,4,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,Kat İrtifakı,1.0
90,100.0,3.0,1.Kat,Boş,0 (Yeni),Yerden Isıtma,9649000.0,antalya,10,Boş,Bilinmiyor,Var,,1.0
145,167.0,5.0,4.Kat,Eşyalı,5-10,Klimalı,6499000.0,antalya,4,Boş,Bilinmiyor,Var,,2.0
70,75.0,3.0,Yüksek Giriş,Boş,0 (Yeni),Klimalı,2250000.0,antalya,6,Boş,Bilinmiyor,Yok,,1.0
52,60.0,2.0,3.Kat,Boş,0 (Yeni),Klimalı,3500000.0,antalya,6,Boş,,Yok,,1.0
135,145.0,4.0,3.Kat,Boş,5-10,Kat Kaloriferi,4500000.0,antalya,4,Mülk Sahibi Oturuyor,Uygun,,,1.0
55,60.0,2.0,1.Kat,,3,Klimalı,5490000.0,antalya,5,Boş,,,,1.0
100,110.0,2.0,Çatı Dubleks,,2,Klimalı,4130000.0,antalya,6,Boş,,,,2.0
110,120.0,3.0,4.Kat,,11-15,Klimalı,2800000.0,antalya,5,Boş,,,,1.0
90,100.0,3.0,3.Kat,Boş,0 (Yeni),Klimalı,4500000.0,antalya,5,Boş,Uygun,Var,Kat İrtifakı,1.0
240,260.0,4.0,,Eşyalı,16-20,Klimalı,9650000.0,antalya,2,Boş,Uygun,Var,Kat İrtifakı,2.0
130,140.0,3.0,6.Kat,,5-10,Klimalı,150000.0,antalya,6,Boş,Bilinmiyor,,,1.0
135,140.0,4.0,8.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,9250000.0,antalya,8,Boş,,Yok,,2.0
170,180.0,4.0,3.Kat,Boş,11-15,Klimalı,11000000.0,antalya,3,Boş,,,Kat İrtifakı,2.0
45,50.0,2.0,2.Kat,Eşyalı,21 Ve Üzeri,Klimalı,1650000.0,antalya,2,Boş,,,Kat İrtifakı,1.0
55,70.0,2.0,Yüksek Giriş,,0 (Yeni),Klimalı,1760000.0,antalya,3,Boş,,,,1.0
60,65.0,2.0,1.Kat,,0 (Yeni),Isıtma Yok,2300000.0,antalya,5,Boş,,,,1.0
110,115.0,3.0,1.Kat,,5-10,Klimalı,1880000.0,antalya,3,Mülk Sahibi Oturuyor,,,,1.0
60,65.0,2.0,Bahçe Katı,,0 (Yeni),Klimalı,2150000.0,antalya,5,Boş,,,,1.0
200,245.0,6.0,,Boş,0 (Yeni),Kombi Doğalgaz,15200000.0,antalya,2,Boş,,Yok,Kat İrtifakı,3.0
100,110.0,3.0,Bahçe Katı,Boş,21 Ve Üzeri,Klimalı,3350000.0,antalya,4,Boş,Uygun,Var,Kat İrtifakı,1.0
105,110.0,3.0,1.Kat,,21 Ve Üzeri,Klimalı,2700000.0,antalya,7,Boş,,,,1.0
220,245.0,6.0,,,0 (Yeni),Kombi Doğalgaz,16150000.0,antalya,2,Boş,,Yok,Kat İrtifakı,3.0
250,260.0,6.0,Çatı Dubleks,,5-10,Klimalı,4700000.0,antalya,5,Boş,,,,3.0
170,185.0,4.0,7.Kat,Boş,11-15,Klimalı,3500000.0,antalya,12,Mülk Sahibi Oturuyor,,,Kat Mülkiyeti,1.0
90,100.0,3.0,2.Kat,Boş,4,Klimalı,3600000.0,antalya,12,Boş,Uygun,Yok,Kat Mülkiyeti,2.0
90,95.0,3.0,2.Kat,Boş,0 (Yeni),Klimalı,2800000.0,antalya,3,Boş,Bilinmiyor,Var,,1.0
170,180.0,4.0,2.Kat,,0 (Yeni),Klimalı,2880000.0,antalya,4,Boş,,,,1.0
110,115.0,3.0,1.Kat,,5-10,Klimalı,1880000.0,antalya,3,Mülk Sahibi Oturuyor,,,,1.0
65,85.0,3.0,Bodrum Kat,Eşyalı,5-10,Klimalı,2600000.0,antalya,5,Boş,Uygun,Var,Kat İrtifakı,1.0
170,180.0,5.0,3.Kat,Boş,5-10,Klimalı,3490000.0,antalya,3,Mülk Sahibi Oturuyor,,Yok,,2.0
100,115.0,3.0,1.Kat,,5-10,Klimalı,6900000.0,antalya,2,Mülk Sahibi Oturuyor,,,,2.0
80,90.0,3.0,10.Kat,,0 (Yeni),Klimalı,3960000.0,antalya,12,Boş,Uygun,Var,Kat İrtifakı,2.0
145,160.0,4.0,7.Kat,Boş,4,Kombi Doğalgaz,4700000.0,antalya,7,Boş,,Yok,,1.0
48,60.0,2.0,8.Kat,Boş,0 (Yeni),Isıtma Yok,2520000.0,antalya,11,Boş,,,,1.0
170,180.0,4.0,2.Kat,Boş,0 (Yeni),Klimalı,2880000.0,antalya,4,Boş,,Yok,Kat Mülkiyeti,1.0
90,100.0,3.0,2.Kat,,5-10,Klimalı,5450000.0,antalya,4,Boş,,,,1.0
16500,17000.0,,,Eşyalı,5-10,Kat Kaloriferi,235000000.0,antalya,3,Boş,Uygun,Yok,Müstakil Tapulu,6.0
182,192.0,5.0,2.Kat,Boş,5-10,Kombi Doğalgaz,11400000.0,antalya,7,Mülk Sahibi Oturuyor,,Yok,,2.0
130,140.0,4.0,1.Kat,,21 Ve Üzeri,Isıtma Yok,2900000.0,antalya,4,Boş,,Var,Kat İrtifakı,1.0
135,145.0,4.0,4.Kat,Boş,3,Klimalı,4500000.0,antalya,4,Boş,,,,1.0
60,65.0,2.0,4.Kat,,0 (Yeni),Klimalı,3850000.0,antalya,12,Boş,,,,1.0
100,110.0,3.0,1.Kat,,0 (Yeni),Klimalı,4100000.0,antalya,3,Boş,,Yok,Kat Mülkiyeti,1.0
110,115.0,3.0,1.Kat,Eşyalı,11-15,Klimalı,4550000.0,antalya,2,Kiracı Oturuyor,Uygun,Yok,Kat İrtifakı,1.0
90,100.0,3.0,2.Kat,Eşyalı,5-10,Klimalı,6000000.0,antalya,4,Boş,Uygun,,Kat Mülkiyeti,1.0
90,105.0,3.0,1.Kat,Boş,3,Klimalı,2660000.0,antalya,4,Kiracı Oturuyor,,Var,,1.0
180,200.0,6.0,2.Kat,Boş,5-10,Klimalı,3800000.0,antalya,3,Boş,,,Kat Mülkiyeti,2.0
55,60.0,2.0,3.Kat,,0 (Yeni),Klimalı,3200000.0,antalya,8,Boş,,,Kat Mülkiyeti,1.0
105,110.0,3.0,3.Kat,Boş,0 (Yeni),Kombi Doğalgaz,4900000.0,antalya,5,Boş,Uygun,Yok,Kat İrtifakı,2.0
100,110.0,3.0,1.Kat,Eşyalı,5-10,Klimalı,4725000.0,antalya,7,Mülk Sahibi Oturuyor,Uygun,,Kat Mülkiyeti,2.0
135,145.0,4.0,Çatı Katı,,16-20,Kombi Doğalgaz,4800000.0,antalya,12,Boş,Bilinmiyor,Var,Kat İrtifakı,1.0
120,130.0,4.0,3.Kat,Boş,21 Ve Üzeri,Klimalı,3300000.0,antalya,6,Boş,Uygun,Yok,Bilinmiyor,1.0
110,120.0,3.0,2.Kat,,3,Klimalı,4550000.0,antalya,4,Boş,Uygun,,Kat İrtifakı,1.0
80,85.0,3.0,2.Kat,Boş,1,Doğalgaz Sobalı,1750000.0,antalya,3,Boş,Uygun,Yok,Kat Mülkiyeti,1.0
110,120.0,3.0,2.Kat,Boş,5-10,Isıtma Yok,2945000.0,antalya,4,Boş,Bilinmiyor,Yok,Kat İrtifakı,1.0
47,52.0,2.0,7.Kat,Boş,0 (Yeni),Yerden Isıtma,2550000.0,antalya,9,Boş,Bilinmiyor,Yok,Kat İrtifakı,1.0
55,61.0,2.0,2.Kat,Boş,0 (Yeni),Klimalı,3000000.0,antalya,9,Boş,Bilinmiyor,Yok,Bilinmiyor,1.0
45,50.0,2.0,Düz Giriş (Zemin),Boş,0 (Yeni),Klimalı,4000000.0,antalya,5,Boş,Bilinmiyor,Yok,Bilinmiyor,1.0
160,180.0,4.0,4.Kat,,5-10,Kombi Doğalgaz,6450000.0,antalya,4,Boş,Bilinmiyor,Yok,,2.0
95,100.0,3.0,2.Kat,Eşyalı,5-10,Klimalı,5150000.0,antalya,4,Boş,Bilinmiyor,Yok,,2.0
150,160.0,4.0,4.Kat,Boş,5-10,Kombi Doğalgaz,5900000.0,antalya,4,Boş,Bilinmiyor,Yok,,2.0
70,80.0,2.0,3.Kat,Boş,0 (Yeni),Klimalı,1800000.0,antalya,4,Boş,Bilinmiyor,Yok,,1.0
80,100.0,3.0,3.Kat,Boş,11-15,Isıtma Yok,2400000.0,antalya,3,Kiracı Oturuyor,Bilinmiyor,Yok,Kat İrtifakı,1.0
75,85.0,3.0,1.Kat,Boş,0 (Yeni),Klimalı,5650000.0,antalya,6,Boş,Bilinmiyor,Yok,,1.0
40,55.0,2.0,Bahçe Katı,Boş,0 (Yeni),Klimalı,3250000.0,antalya,6,Boş,Bilinmiyor,Var,Kat İrtifakı,1.0
45,60.0,2.0,1.Kat,Boş,0 (Yeni),Klimalı,3350000.0,antalya,3,Boş,Bilinmiyor,Var,,1.0
180,200.0,5.0,,Eşyalı,11-15,Kombi Doğalgaz,20350000.0,antalya,4,Boş,Bilinmiyor,Yok,,4.0
110,120.0,4.0,5.Kat,Boş,16-20,Kombi Doğalgaz,3500000.0,antalya,5,Kiracı Oturuyor,Bilinmiyor,Yok,Kat İrtifakı,1.0
80,90.0,3.0,1.Kat,Boş,0 (Yeni),Isıtma Yok,4000000.0,antalya,4,Boş,Bilinmiyor,Var,Bilinmiyor,1.0
65,70.0,3.0,1.Kat,Boş,1,Klimalı,3000000.0,antalya,4,Boş,Bilinmiyor,Yok,Bilinmiyor,1.0
115,125.0,3.0,4.Kat,Boş,5-10,Klimalı,3950000.0,antalya,4,Boş,Bilinmiyor,Yok,Bilinmiyor,1.0
90,100.0,3.0,1.Kat,Boş,5-10,Klimalı,2550000.0,antalya,3,Boş,Bilinmiyor,Var,Kat İrtifakı,1.0
120,135.0,4.0,1.Kat,Eşyalı,16-20,Klimalı,3100000.0,antalya,3,Boş,Bilinmiyor,Var,Kat İrtifakı,1.0
